crypto,period,start_date,end_date,total_return,sharpe_ratio,max_drawdown
BTC-USD,2019,2019-01-01,2019-12-31,1.539601422848246,2.131747755096919,-0.21784298336296837
BTC-USD,2020,2020-01-01,2020-12-31,1.7034960306997151,2.504113381703646,-0.2508256011967004
BTC-USD,2021,2021-01-01,2021-12-31,0.5617920453729692,1.1660942278700204,-0.3290030908999133
BTC-USD,2022,2022-01-01,2022-12-31,-0.13207751217866232,-0.15166044309421797,-0.37389996818536964
BTC-USD,2023,2023-01-01,2023-12-31,1.179503195955574,2.4672129886795227,-0.1294100367726212
BTC-USD,2024,2024-01-01,2024-12-31,0.5259325851321924,1.3983927037926092,-0.2180405225718567
BTC-USD,2025_YTD,2025-01-01,2025-02-24,-0.05591625532901389,-1.1345908468754429,-0.1133873406995003
ETH-USD,2019,2019-01-01,2019-12-31,0.026025722454025697,0.2632289391701199,-0.22134445152549043
ETH-USD,2020,2020-01-01,2020-12-31,2.4502200022136633,2.9707895182814843,-0.19108026267179645
ETH-USD,2021,2021-01-01,2021-12-31,1.8966890826726708,1.9004138843060556,-0.39206439355323475
ETH-USD,2022,2022-01-01,2022-12-31,-0.13973136878289366,0.027331974110458134,-0.4862373078316652
ETH-USD,2023,2023-01-01,2023-12-31,0.6307406704789063,1.6104551817938266,-0.23935012561082936
ETH-USD,2024,2024-01-01,2024-12-31,0.18843344059418698,0.6552959029666132,-0.3465627520775202
ETH-USD,2025_YTD,2025-01-01,2025-02-24,-0.16595710578853556,-2.659354369745442,-0.2289799949317619
BNB-USD,2019,2019-01-01,2019-12-31,0.22645901110210975,2.9442704022645705,-0.01999571119269372
BNB-USD,2020,2020-01-01,2020-12-31,0.13677081480370842,1.8800047206947028,-0.0406652119780484
BNB-USD,2021,2021-01-01,2021-12-31,0.649349234568156,1.0677756706446602,-0.4497475437230949
BNB-USD,2022,2022-01-01,2022-12-31,-0.2618419184429203,-0.46594253112149486,-0.5042912654694105
BNB-USD,2023,2023-01-01,2023-12-31,0.21278994656679656,0.8003159370760583,-0.300410319222983
BNB-USD,2024,2024-01-01,2024-12-31,0.5776644599295001,1.4017031059417766,-0.2067081956023512
BNB-USD,2025_YTD,2025-01-01,2025-02-24,0.007766735513557848,0.36345682974220295,-0.06445183006503441
XRP-USD,2019,2019-01-01,2019-12-31,1.9121387241407552e-05,0.01645733573047389,-0.0008008861942132572
XRP-USD,2020,2020-01-01,2020-12-31,0.00194835167206161,1.3312536864823687,-0.0005345065576883856
XRP-USD,2021,2021-01-01,2021-12-31,0.007639964002274787,1.2025112756614724,-0.004220817276888944
XRP-USD,2022,2022-01-01,2022-12-31,-0.0015698743903127333,-1.0314694987241144,-0.0022869648091069505
XRP-USD,2023,2023-01-01,2023-12-31,0.0007044588720204986,0.3514351314792663,-0.0009138154954404509
XRP-USD,2024,2024-01-01,2024-12-31,0.011839474279970754,1.9568398577904926,-0.00143261376442394
XRP-USD,2025_YTD,2025-01-01,2025-02-24,3.30820768512563e-05,0.18532420674087122,-0.00026996943255452877
ADA-USD,2019,2019-01-01,2019-12-31,0.0001242607591035877,0.41887638912451214,-0.00016236287281123918
ADA-USD,2020,2020-01-01,2020-12-31,0.0005395165278452677,1.2175253947854248,-0.00032158237415969015
ADA-USD,2021,2021-01-01,2021-12-31,0.009918945136099182,1.1386274562027805,-0.006014560212601494
ADA-USD,2022,2022-01-01,2022-12-31,0.0004658408500203248,0.14065338928035742,-0.0023850192095768996
ADA-USD,2023,2023-01-01,2023-12-31,0.0024111057371022293,1.7513305391311624,-0.0007762832993759572
ADA-USD,2024,2024-01-01,2024-12-31,0.003714382318539321,1.6484136171273542,-0.001483922802426929
ADA-USD,2025_YTD,2025-01-01,2025-02-24,0.0005405752985441692,3.7372039051301367,-0.00010960230670942206
SOL-USD,2020,2020-01-01,2020-12-31,0.0051375541813655345,0.6260500564353033,-0.008614460312826866
SOL-USD,2021,2021-01-01,2021-12-31,0.26410227702076383,0.8453583087318268,-0.30001161578905555
SOL-USD,2022,2022-01-01,2022-12-31,-0.17248111736130564,-0.4435493078110109,-0.32627354383629503
SOL-USD,2023,2023-01-01,2023-12-31,0.46164922216655013,1.8875412710750559,-0.09294499004018342
SOL-USD,2024,2024-01-01,2024-12-31,0.9509878441149862,1.946273673213611,-0.19386016313078958
SOL-USD,2025_YTD,2025-01-01,2025-02-24,0.07336704860451788,1.958602117483161,-0.04841981930378436
DOT-USD,2020,2020-01-01,2020-12-31,0.0027588740150082235,0.6247636773541728,-0.003738154610582245
DOT-USD,2021,2021-01-01,2021-12-31,0.09811955607025745,0.7245898436262782,-0.10892987127122788
DOT-USD,2022,2022-01-01,2022-12-31,-0.09155670492877398,-1.736849710196904,-0.09540446084682586
DOT-USD,2023,2023-01-01,2023-12-31,0.01070895329553272,0.521992156559554,-0.02287577857033596
DOT-USD,2024,2024-01-01,2024-12-31,0.02219666629410277,0.8112960105348214,-0.02486778630727471
DOT-USD,2025_YTD,2025-01-01,2025-02-24,0.0010282976476244697,1.3159220076755458,-0.0010164185355129307
DOGE-USD,2019,2019-01-01,2019-12-31,-2.4998975779094626e-06,-0.3384608204680734,-9.541233724319476e-06
DOGE-USD,2020,2020-01-01,2020-12-31,1.1465594245135781e-05,1.017224252976559,-4.830858268634053e-06
DOGE-USD,2021,2021-01-01,2021-12-31,0.0021247928298543297,0.9038400103925427,-0.0011361533966682824
DOGE-USD,2022,2022-01-01,2022-12-31,0.0003133514912091526,0.5168380757819911,-0.0005889719205892652
DOGE-USD,2023,2023-01-01,2023-12-31,-0.00013759593248541312,-0.6387224186934941,-0.00024339667653872077
DOGE-USD,2024,2024-01-01,2024-12-31,0.002018738060677091,1.8886780463912132,-0.0005396370767256631
DOGE-USD,2025_YTD,2025-01-01,2025-02-24,-3.0023751397874748e-05,-0.5121157970209167,-0.00016781552805511524
AVAX-USD,2020,2020-01-01,2020-12-31,-0.0021772596745836693,-1.979091607020284,-0.002379917752734162
AVAX-USD,2021,2021-01-01,2021-12-31,0.3732520818790846,1.343532788728047,-0.2072137197189008
AVAX-USD,2022,2022-01-01,2022-12-31,-0.1355399514779725,-0.4862910964544418,-0.20158681931941336
AVAX-USD,2023,2023-01-01,2023-12-31,0.1598917260001545,1.9538322713541967,-0.052360687740783174
AVAX-USD,2024,2024-01-01,2024-12-31,0.08135816889774283,0.493897629226504,-0.18563907290716342
AVAX-USD,2025_YTD,2025-01-01,2025-02-24,-0.001451680742160235,-0.314268187619019,-0.009128231591234104
MATIC-USD,2019,2019-01-01,2019-12-31,0.00021455357146943084,2.0775986467860497,-2.9104130165102937e-05
MATIC-USD,2020,2020-01-01,2020-12-31,1.9337000926700904e-06,0.019314991847751043,-7.432145360108944e-05
MATIC-USD,2021,2021-01-01,2021-12-31,0.004251185287302561,0.5572931761466435,-0.004557749853584259
MATIC-USD,2022,2022-01-01,2022-12-31,-0.00635055120147441,-1.3222731233718406,-0.008710686634882281
MATIC-USD,2023,2023-01-01,2023-12-31,0.0022469811403310258,0.7081725126530617,-0.002448852572655369
MATIC-USD,2024,2024-01-01,2024-12-31,-0.0013548583902854195,-0.5511297967489579,-0.0032176543858304374
MATIC-USD,2025_YTD,2025-01-01,2025-02-24,-8.143960591295019e-05,-1.9363229366758252,-0.00012782865265481558
